tag,0
ambassador supporting character,ambassador supporting character
thoracic surgeon supporting character,thoracic surgeon supporting character
investigator supporting character,investigator supporting character
ex-couple relationship ,ex-couple relationship 
deception ,deception 
trauma ,trauma 
school gang,school gang
workplace abuse ,workplace abuse 
organ transplantation,organ transplantation
double identity ,double identity 
brain cancer,brain cancer
unlucky female lead,unlucky female lead
glioblastoma,glioblastoma
fate ,fate 
mixed martial arts,mixed martial arts
blackmail,blackmail
singer female lead,singer female lead
singer male lead,singer male lead
three kingdoms of korea,three kingdoms of korea
tang dynasty,tang dynasty
silla dynasty ,silla dynasty 
professor female lead,professor female lead
civil exam ,civil exam 
doctor supporting character,doctor supporting character
missing child,missing child
unhappy marriage,unhappy marriage
animal death,animal death
scientist,scientist
disability,disability
psychiatrist male lead,psychiatrist male lead
height difference ,height difference 
time travel ,time travel 
awkward male lead,awkward male lead
gangster male lead,gangster male lead
introverted male lead,introverted male lead
nurse supporting character,nurse supporting character
male chases female first ,male chases female first 
human experimentation,human experimentation
village setting,village setting
fashion designer female lead,fashion designer female lead
restaurateur male lead ,restaurateur male lead 
dysfunctional family,dysfunctional family
resident doctor ,resident doctor 
workplace politics,workplace politics
ambition,ambition
yuan dynasty,yuan dynasty
female lead action scenes ,female lead action scenes 
summer,summer
florist,florist
father-daughter relationship ,father-daughter relationship 
band,band
idol supporting character,idol supporting character
idol male lead,idol male lead
talent manager male lead,talent manager male lead
twin flames,twin flames
politician male lead,politician male lead
married life ,married life 
cupid,cupid
magical power,magical power
clumsy female lead,clumsy female lead
dorky male lead ,dorky male lead 
evil stepmother ,evil stepmother 
"""neighbors' relationship""","""neighbors' relationship"""
prostitution,prostitution
illegal business,illegal business
sex trafficking,sex trafficking
autistic female lead,autistic female lead
attorney female lead,attorney female lead
law firm,law firm
courtroom setting,courtroom setting
single mother/father supporting character ,single mother/father supporting character 
harem ,harem 
comfort women,comfort women
sexual abuse,sexual abuse
soldier,soldier
torture,torture
pre-produced ,pre-produced 
elemental power,elemental power
swordsman,swordsman
school club,school club
costume,costume
weak male lead,weak male lead
failing marriage,failing marriage
tomboy,tomboy
widower male lead,widower male lead
age gap [drama life] ,age gap [drama life] 
famous lead/common lead,famous lead/common lead
female rivalry,female rivalry
war ,war 
fashion designer,fashion designer
fashion industry ,fashion industry 
cardiothoracic surgeon,cardiothoracic surgeon
promise,promise
supportive parent ,supportive parent 
vengeful female lead,vengeful female lead
business partners,business partners
shoesmaker,shoesmaker
bankruptcy ,bankruptcy 
lost child,lost child
satire,satire
life lesson ,life lesson 
hyperthymesia,hyperthymesia
entertainment industry ,entertainment industry 
one-night stand,one-night stand
gay romance,gay romance
bisexual male lead,bisexual male lead
gay male lead,gay male lead
hospital director supporting character,hospital director supporting character
"""half-brothers' relationship""","""half-brothers' relationship"""
"""half-sisters' relationship""","""half-sisters' relationship"""
"""stepsisters' relationship ""","""stepsisters' relationship """
evil brother,evil brother
evil stepmother,evil stepmother
muse,muse
musician male lead,musician male lead
detective ,detective 
hidden personality,hidden personality
